"Código","Denominación","Observaciones"
"A","Riesgos económicos",""
"A.01","Riesgos para la agricultura",""
"A.02","Riesgos para la ganadería",""
"A.03","Riesgos para la pesca",""
"A.04","Riesgos para el ocio y tiempo libre",""
"A.05","Riesgos para instalaciones industriales",""
"B","Riesgos ecológicos",""
"B.01","Modificaciones genéticas",""
"B.01.01","Contaminación genética (fauna)",""
"B.01.02","Contaminación genética (flora)",""
"B.01.03","Disminución del intercambio genético entre especies nativas",""
"B.01.04","Disminución variabilidad genética (fauna)",""
"B.01.05","Disminución variabilidad genética (flora)",""
"B.01.06","Otros",""
"B.02","Alteraciones del sistema natural",""
"B.02.01","Disminución o perdida de las características específicas del hábitat ",""
"B.02.02","Disminución de la disponibilidad de presas",""
"B.02.03","Disminución de la dispersión de especies nativas",""
"B.02.04","Otros",""
"B.03","Relaciones interespecíficas fauna",""
"B.03.01","Competencia",""
"B.03.02","Parasitismo",""
"B.03.03","Introducción de enfermedades (patógenos microbianos)",""
"B.03.04","Depredación",""
"B.03.05","Antagonismos derivados de la introducción de la especie",""
"B.03.06","Antagonismos con animales domésticos",""
"B.03.07","Otras formas de competencia",""
"B.03.08","Otros",""
"B.04","Relaciones interespecíficas flora",""
"B.04.01","Competencia",""
"B.04.02","Parasitismo",""
"B.04.03","Introducción de enfermedades (patógenos microbianos)",""
"B.04.04","Ausencia de agentes polinizadores",""
"B.04.06","Otros",""
"C","Riesgos para la salud humana",""
"C.01","Vector de enfermedades  ",""
"C.02","Causante de alergias y daños epidérmicos",""
"C.03","Otros",""
"D","Declive o extinción de especies",""
"E","Sin riesgos",""
"F","Riesgos desconocidos",""
